,SW0X1RNA,SW0X2RNA,SW0X3RNA,SW0Y1RNA,SW0Y2RNA,SW0Y3RNA,SW0Z1RNA,SW0Z2RNA,SW0Z3RNA,SW1A1RNA,SW1B2RNA,SW1C1RNA,SW1C2RNA,SW1C3RNA,SW1E2RNA,SW1G1RNA,SW1G2RNA,SW1G3RNA,SW1H1RNA,SW1H2RNA,SW1H3RNA,SW1I1RNA,SW1I2RNA,SW1I3RNA,SW1J1RNA,SW1J2RNA,SW1J3RNA,SW1K1RNA,SW1K2RNA,SW1K3RNA,SW1L1RNA,SW1L2RNA,SW1L3RNA,SW1M1RNA,SW1M2RNA,SW1M3RNA,SW2A3RNA,SW2B1RNA,SW2B3RNA,SW2C1RNA,SW2C2RNA,SW2C3RNA,SW2D1RNA,SW2D2RNA,SW2D3RNA,SW2E3RNA,SW2F1RNA,SW2F2RNA,SW2F3RNA,SW2G1RNA,SW2G2RNA,SW2G3RNA,SW2H1RNA,SW2H3RNA,SW2I1RNA,SW2I2RNA,SW2J1RNA,SW2J2RNA,SW2J3RNA,SW2K1RNA,SW2K2RNA,SW2K3RNA,SW2L1RNA,SW2L2RNA,SW2L3RNA,SW2M1RNA,SW2M2RNA,SW2M3RNA,SW3A1RNA,SW3A2RNA,SW3A3RNA,SW3B1RNA,SW3B3RNA,SW3C1RNA,SW3C2RNA,SW3C3RNA,SW3D1RNA,SW3D2RNA,SW3D3RNA,SW3E1RNA,SW3E2RNA,SW3E3RNA,SW3F1RNA,SW3F2RNA,SW3F3RNA,SW3G1RNA,SW3G2RNA,SW3G3RNA,SW3H2RNA,SW3H3RNA,SW3I1RNA,SW3I2RNA,SW3J2RNA,SW3J3RNA,SW3K1RNA,SW3K2RNA,SW3K3RNA,SW3L1RNA,SW3L2RNA,SW3L3RNA,SW3M1RNA,SW3M2RNA,SW3M3RNA,SW4A1RNA,SW4A2RNA,SW4A3RNA,SW4B1RNA,SW4B2RNA,SW4B3RNA,SW4C1RNA,SW4C2RNA,SW4C3RNA,SW4D1RNA,SW4D3RNA,SW4E1RNA,SW4E2RNA,SW4E3RNA,SW4F1RNA,SW4F2RNA,SW4G1RNA,SW4G2RNA,SW4G3RNA,SW4H1RNA,SW4H2RNA,SW4H3RNA,SW4I1RNA,SW4I2RNA,SW4I3RNA,SW4J1RNA,SW4J2RNA,SW4J3RNA,SW4K1RNA,SW4K2RNA,SW4K3RNA,SW4L1RNA,SW4L2RNA,SW4L3RNA,SW4M1RNA,SW4M3RNA
OTU2,0,0,0,0,0,0,1,1,1,397,0,1227,0,1489,0,1072,0,0,816,657,755,301,354,318,201,252,263,417,318,316,249,333,160,391,366,385,477,0,0,1283,1340,0,2008,0,0,0,290,324,331,852,908,802,0,0,287,227,424,0,0,799,668,647,263,163,137,295,307,323,487,345,368,585,0,1346,1216,1514,1503,1602,1538,0,0,0,249,231,222,0,0,0,765,828,191,220,287,0,0,0,0,248,199,202,345,337,343,505,568,491,0,0,0,1138,1146,1233,0,0,459,520,0,237,235,1188,944,966,0,0,0,191,214,155,173,169,196,950,789,0,127,82,158,275,251
OTU3152,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,72,0,78,28,41,48,0,25,22,11,1,0,2,13,10,9,7,17,20,31,0,0,164,0,0,0,0,0,0,0,0,36,38,43,65,49,45,38,44,14,19,0,0,23,20,21,16,8,5,4,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,72,64,85,84,0,0,14,10,0,0,10,12,15,12,0,17,18,0,0,0,121,0,127,0,0,0,0,0,0,0,0,23,18,63,86,0,31,42,24,24,15,20,9,11,2,23,17,20,5,5,2,0,17
OTU15,0,0,0,2,1,1,1,1,1,26,0,56,65,63,0,43,0,41,54,23,34,73,49,55,23,39,29,9,0,2,9,9,1,71,65,24,27,0,783,34,66,58,92,53,0,0,0,92,106,42,0,46,67,92,76,63,0,0,0,0,21,27,0,11,9,63,76,98,29,35,19,0,0,78,72,95,85,66,72,0,0,0,0,28,0,45,36,0,82,42,35,203,16,22,0,0,0,1,9,7,39,80,47,20,38,19,0,0,0,61,53,49,0,93,0,0,0,29,0,37,49,44,85,0,0,43,85,38,10,0,11,24,24,0,1,1,0,48,32
OTU7,0,0,0,0,1,0,0,0,0,8,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,43,17,0,0,39,43,24,6,13,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902,905,943,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU39,0,0,0,0,0,0,1,1,1,0,0,60,39,0,0,0,0,0,0,0,0,14,10,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,29,0,0,0,24,18,15,15,14,82,58,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,0,0,0,0,32,0,10,0,0,59,0,84,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,8,3,0,7,4,0,0,0,7,9,0,0,0
OTU5,0,3,1,0,1,0,1,1,1,11,42,15,26,17,49,640,614,934,154,113,135,37,68,41,57,58,28,776,553,793,131,99,109,10,3,14,0,22,13,17,37,34,6,12,11,28,29,46,0,1160,738,916,26,25,36,42,35,32,40,861,0,720,19,47,32,16,10,1,23,21,19,12,31,34,26,25,37,67,42,74,59,72,15,15,19,888,942,860,51,62,37,21,24,13,0,0,0,105,145,102,14,9,13,12,12,11,57,38,32,74,52,34,18,40,85,52,20,41,42,0,0,1561,48,46,47,39,58,56,46,42,34,0,0,0,29,22,26,8,3
OTU1580,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,29,27,18,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU27,0,0,0,0,0,0,1,1,1,4,0,9,0,0,0,0,0,0,0,118,83,0,0,0,0,0,0,123,78,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,1,0,0,0,0,0,0,0,44,0,0,0,1,17,6,0,2,4,40,17,32,22,0,5,1,0,0,1,0,1,0,0,0,499,0,0,1,0,0,0,0,0,6,22,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,49,0,0,1,1,1,1
OTU303,0,0,0,0,0,0,0,0,0,15,33,16,6,9,15,1,2,1,1,1,1,3,4,8,0,0,0,1,1,2,0,1,0,0,1,1,48,0,39,22,17,24,36,51,53,12,3,1,0,7,6,3,2,1,6,5,1,0,1,2,1,1,1,0,3,0,0,1,32,38,30,49,0,17,16,12,4,8,5,16,10,19,5,2,2,2,1,1,1,1,10,0,1,1,1,1,0,1,0,0,1,1,1,28,10,9,0,0,0,24,11,20,37,72,6,8,7,7,3,1,1,1,2,1,1,0,1,4,1,1,1,1,1,2,1,1,1,1,0
OTU882,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU68,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,8,10,11,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,28,0,0,0
OTU46,1,0,0,0,0,0,0,0,0,7,6,30,39,25,34,22,11,13,6,3,4,74,79,74,1,1,5,1,1,1,4,6,1,91,75,50,11,16,25,6,20,23,21,17,19,8,26,5,3,20,6,7,1,2,94,86,2,4,1,7,2,3,3,1,1,82,129,88,15,12,17,13,30,39,36,49,10,8,7,42,35,48,5,12,18,28,21,15,3,1,66,86,5,5,2,1,1,1,1,1,118,114,79,5,12,6,31,17,5,17,28,11,14,11,42,26,20,13,3,20,11,9,1,1,1,59,45,49,1,1,1,1,3,1,8,1,1,83,73
OTU20,1,1,0,0,0,0,1,0,0,10,35,20,44,29,38,10,8,12,9,11,3,16,39,40,7,4,4,1,1,1,5,1,1,20,29,0,10,42,32,26,33,51,56,65,83,63,15,23,12,21,18,12,14,18,30,6,5,3,7,4,0,1,1,5,6,0,0,26,8,18,11,69,51,14,20,9,20,8,20,98,38,94,9,17,32,5,6,2,1,5,21,26,8,11,1,0,0,0,0,1,0,26,8,6,12,2,51,23,13,43,41,133,69,112,69,37,38,27,25,17,19,21,3,25,11,12,30,22,11,9,2,4,10,6,5,1,0,0,0
OTU106,0,0,0,0,0,0,1,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,4,0,5,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU24,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,87,100,0,0,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,85,94,0,0,0,1,2,0,0,21,10,17,0,0,0,107,78,24,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,109,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,14,2,7,7,161,93,0,0,0,2,1,1,0,0,0,31,63,46,0,0,0,88,27,53,0,0
OTU25,0,0,0,0,0,0,0,0,0,24,61,82,68,94,119,55,36,37,27,16,15,185,255,213,4,9,8,7,3,4,10,12,14,514,477,0,56,42,58,71,78,96,49,60,49,64,41,44,38,44,47,47,11,12,261,176,5,3,8,30,11,17,2,8,3,387,431,442,46,50,54,54,83,157,146,116,117,72,66,100,81,108,15,25,33,38,26,25,15,21,212,187,16,16,20,10,18,5,1,7,0,0,0,78,73,31,74,76,46,90,68,86,60,68,80,69,61,21,27,28,27,62,18,19,21,221,204,216,6,9,12,38,11,26,13,12,14,0,0
OTU63,0,0,0,1,0,0,0,0,0,0,10,0,0,0,5,0,0,0,21,0,17,15,17,20,6,1,1,0,0,0,1,5,6,25,15,20,0,12,12,0,0,0,0,2,0,5,23,26,26,0,0,0,24,20,25,14,4,14,10,0,0,0,9,13,4,8,15,17,0,0,0,18,25,0,0,0,0,0,0,7,1,1,12,12,0,0,0,0,3,2,14,18,13,9,0,0,0,8,3,1,16,14,23,0,0,0,12,16,19,0,0,0,1,3,4,3,0,15,13,1,0,0,1,10,1,12,4,4,7,5,1,0,0,0,3,3,10,13,11
OTU1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,28,26,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,25,35,0,0,0,0,15,0,0,0,101,109,120,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,19,0,0,0,3,6,0,0,0,40,0,0,0,37,27,35,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,0,19,0,0,0,11,4,7,0,0,0,9,9,11,0,0,0,52,18,0,0,15
OTU82,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,7,10,8,0,0,0,0,73,69,0,0,56,0,0,0,71,50,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,18,17,0,0,0,0,0,3,10,0,0
OTU42,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,3,5,1,1,0,11,16,15,4,1,6,3,3,1,1,1,1,32,33,33,1,1,1,1,1,1,1,1,1,1,14,11,2,1,1,4,1,1,14,12,6,7,5,1,4,5,1,1,1,34,36,26,1,2,1,2,5,1,1,1,1,1,1,1,1,1,21,27,28,1,2,1,0,1,5,17,13,20,6,1,1,1,1,0,40,54,41,2,3,1,3,1,4,1,1,1,1,1,3,1,2,9,23,6,15,9,1,1,1,8,21,16,12,15,8,1,1,3,1,2,1,52,48
OTU38,4,1,0,1,1,5,0,0,0,0,1,0,1,0,23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,288,220,173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU1311,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0
OTU9,4,5,6,7,1,8,0,1,0,849,191,549,0,0,270,84,61,95,28,10,15,52,107,51,8,5,20,3,4,2,1,4,7,82,70,54,1025,228,187,0,375,454,405,407,227,297,25,25,37,57,30,58,43,63,36,25,18,22,24,22,15,22,2,3,3,55,47,77,819,0,0,263,219,417,0,0,576,611,578,0,219,182,34,45,50,89,64,48,68,56,75,91,17,17,15,14,12,1,11,11,92,78,84,0,0,0,190,147,228,0,0,0,270,260,313,247,299,29,20,58,59,47,48,41,24,45,50,57,14,14,13,0,8,21,2,2,1,0,60
OTU41,9,20,12,11,13,25,1,1,1,4,39,6,3,10,8,1,1,3,1,1,1,65,46,63,0,1,1,1,1,1,2,3,3,69,79,55,11,28,0,11,12,3,33,20,16,2,7,0,0,1,2,5,1,2,38,32,1,1,1,1,0,1,3,1,2,47,51,46,10,13,19,30,30,10,2,7,1,2,5,3,9,11,15,11,10,1,1,1,1,1,52,55,1,3,0,1,1,1,1,1,70,61,68,10,24,2,18,19,14,10,9,17,20,25,12,10,8,8,0,1,1,1,1,1,4,63,39,57,1,1,1,1,1,1,1,3,1,84,74
OTU81,13,6,11,0,23,0,0,1,1,5,0,9,15,18,473,3,0,2,15,0,0,0,0,0,301,0,201,1,0,0,0,0,149,0,0,0,0,0,0,11,18,23,0,0,0,0,0,0,0,9,0,0,12,19,0,0,189,0,181,3,0,1,188,203,180,0,0,0,39,24,25,116,0,7,14,15,3,7,5,487,696,586,0,0,0,1,0,0,13,9,0,0,630,639,1,0,1,0,0,0,0,0,0,30,38,23,307,253,0,0,49,0,75,65,0,747,363,0,0,0,0,0,31,24,23,0,0,0,0,0,842,0,0,0,141,124,0,0,0
OTU12,0,0,1,0,0,3,0,1,0,0,0,0,1186,0,0,0,0,0,0,0,45,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,8,0,0
OTU22,1,1,0,6,2,1,0,0,1,39,151,24,24,35,40,3,3,2,2,1,1,38,37,36,2,1,1,1,1,1,0,1,1,7,18,21,75,169,147,57,36,35,197,229,212,32,37,13,19,15,7,12,2,14,55,32,2,1,1,8,1,1,2,1,1,11,12,7,64,56,24,0,0,32,28,27,36,17,24,39,19,41,19,30,24,1,1,2,1,2,52,58,1,3,0,1,4,0,1,1,20,0,13,46,86,27,146,115,95,30,67,53,203,184,44,29,21,15,9,12,9,3,2,5,9,41,27,29,2,3,1,1,6,1,2,1,3,10,22
OTU28,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,2,0,0,7,0,0,11,0,14,6,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,5,0,7,10,43,44,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU43,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,25,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0
OTU94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
