,SW0X1RNA,SW0X2RNA,SW0X3RNA,SW0Y1RNA,SW0Y2RNA,SW0Y3RNA,SW0Z1RNA,SW0Z2RNA,SW0Z3RNA,SW1A1RNA,SW1B2RNA,SW1C1RNA,SW1C2RNA,SW1C3RNA,SW1E2RNA,SW1G1RNA,SW1G2RNA,SW1G3RNA,SW1H1RNA,SW1H2RNA,SW1H3RNA,SW1I1RNA,SW1I2RNA,SW1I3RNA,SW1J1RNA,SW1J2RNA,SW1J3RNA,SW1K1RNA,SW1K2RNA,SW1K3RNA,SW1L1RNA,SW1L2RNA,SW1L3RNA,SW1M1RNA,SW1M2RNA,SW1M3RNA,SW2A3RNA,SW2B1RNA,SW2B3RNA,SW2C1RNA,SW2C2RNA,SW2C3RNA,SW2D1RNA,SW2D2RNA,SW2D3RNA,SW2E3RNA,SW2F1RNA,SW2F2RNA,SW2F3RNA,SW2G1RNA,SW2G2RNA,SW2G3RNA,SW2H1RNA,SW2H3RNA,SW2I1RNA,SW2I2RNA,SW2J1RNA,SW2J2RNA,SW2J3RNA,SW2K1RNA,SW2K2RNA,SW2K3RNA,SW2L1RNA,SW2L2RNA,SW2L3RNA,SW2M1RNA,SW2M2RNA,SW2M3RNA,SW3A1RNA,SW3A2RNA,SW3A3RNA,SW3B1RNA,SW3B3RNA,SW3C1RNA,SW3C2RNA,SW3C3RNA,SW3D1RNA,SW3D2RNA,SW3D3RNA,SW3E1RNA,SW3E2RNA,SW3E3RNA,SW3F1RNA,SW3F2RNA,SW3F3RNA,SW3G1RNA,SW3G2RNA,SW3G3RNA,SW3H2RNA,SW3H3RNA,SW3I1RNA,SW3I2RNA,SW3J2RNA,SW3J3RNA,SW3K1RNA,SW3K2RNA,SW3K3RNA,SW3L1RNA,SW3L2RNA,SW3L3RNA,SW3M1RNA,SW3M2RNA,SW3M3RNA,SW4A1RNA,SW4A2RNA,SW4A3RNA,SW4B1RNA,SW4B2RNA,SW4B3RNA,SW4C1RNA,SW4C2RNA,SW4C3RNA,SW4D1RNA,SW4D3RNA,SW4E1RNA,SW4E2RNA,SW4E3RNA,SW4F1RNA,SW4F2RNA,SW4G1RNA,SW4G2RNA,SW4G3RNA,SW4H1RNA,SW4H2RNA,SW4H3RNA,SW4I1RNA,SW4I2RNA,SW4I3RNA,SW4J1RNA,SW4J2RNA,SW4J3RNA,SW4K1RNA,SW4K2RNA,SW4K3RNA,SW4L1RNA,SW4L2RNA,SW4L3RNA,SW4M1RNA,SW4M3RNA
OTU6354,3,2,1,4,4,7,1,1,1,0,171,0,0,0,271,165,122,118,199,189,198,46,60,45,21,22,30,15,11,8,59,80,46,0,61,40,0,233,229,0,0,0,0,376,318,345,78,64,81,133,133,135,181,290,56,48,79,62,67,46,27,33,53,59,68,36,62,41,0,0,0,253,197,0,0,0,0,0,0,0,0,0,72,94,86,128,0,106,388,364,69,56,62,67,0,0,32,103,125,113,69,64,52,0,0,0,196,217,222,0,0,0,0,267,232,251,237,64,24,130,126,159,175,139,117,36,37,26,33,34,21,57,43,0,43,14,37,0,31
OTU207,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,12,19,0,0,3,0,0,1,0,0,43,1,0,0,0,0,0,0,0,1,0,0,0,698,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,46,139,0,12,0,0,2,1,0,0,0,1,0,0,0,0,28,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,31,0,0,0,0
OTU124,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,4,11,0,0,4,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,7,5,0,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,3,2,0,1,0,0,0,0,0,7,7,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
OTU35,1,5,0,6,11,3,1,0,1,1,16,3,0,4,10,5,0,2,4,9,1,48,57,56,10,25,30,0,1,1,18,15,10,82,80,44,1,17,22,3,4,1,15,12,10,8,21,21,36,1,0,1,14,24,24,16,35,36,46,0,0,1,8,13,8,52,56,73,1,0,3,16,16,3,3,5,4,0,8,6,11,19,34,14,17,1,1,1,1,2,38,34,9,26,0,0,0,7,15,9,42,66,69,8,1,1,16,6,8,6,4,2,27,18,7,6,9,15,25,4,0,2,10,18,20,26,15,22,20,15,6,0,0,3,14,1,12,74,50
OTU1,0,0,0,0,0,0,1,1,1,18,20,30,39,38,0,2463,2241,1928,70,44,87,0,0,0,0,0,0,0,0,0,4650,4256,0,0,0,0,14,19,0,15,0,0,4,11,8,0,0,1986,2066,996,1560,1505,10,16,0,0,4032,3840,3932,0,0,0,0,0,0,0,0,0,19,0,10,0,0,39,0,81,13,3,11,0,0,0,1740,1756,1639,2543,2550,2849,12,7,0,0,3915,3885,3626,3571,4820,2506,2811,2719,0,0,0,10,12,0,0,0,0,24,35,18,3,0,0,0,0,1786,2909,1077,1079,1256,69,17,18,0,0,0,0,0,0,4270,4881,4228,3863,0,4386,0,0
OTU4,7,5,0,7,4,8,1,1,1,0,350,0,0,0,505,0,0,252,444,403,430,120,102,0,27,37,47,17,24,25,107,115,69,82,112,59,0,357,411,0,0,0,442,434,464,484,98,103,107,210,202,220,251,383,78,48,100,93,105,66,47,72,59,80,54,84,94,88,0,0,0,0,352,0,0,0,0,0,0,0,0,0,87,111,90,200,181,149,680,736,91,132,0,56,0,0,55,212,160,175,91,94,0,0,0,0,368,362,375,0,0,0,0,401,471,0,484,80,71,217,212,235,265,244,193,53,71,58,52,53,38,0,79,114,59,24,56,0,0
OTU173,0,0,7,0,0,0,1,1,1,56,0,0,0,219,0,0,0,0,149,124,0,70,53,57,15,16,0,0,26,43,16,0,5,73,63,68,81,0,0,175,0,0,0,0,0,0,0,0,59,169,0,0,0,0,43,31,0,0,0,0,0,0,34,35,23,0,60,59,121,61,60,0,0,261,272,309,0,0,0,0,0,0,57,54,70,0,0,200,142,0,39,0,48,0,0,0,0,27,40,41,0,0,0,95,90,59,0,0,0,0,0,0,0,0,0,0,0,37,19,0,176,0,0,0,0,31,27,40,24,32,12,0,0,0,23,12,20,0,49
OTU34,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,3,1,3,1,0,0,0,0,0,0,75,105,125,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,4,0,1,1,0,0,0,0,1,1,55,77,107,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,11,5,1,0,0,0,0,0,1,0,110,105,73,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,10,6,1,0,1,1,1,0,0,1,0,1,59,64
OTU3,15,5,13,21,9,15,0,0,0,0,139,3,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,69,0,0,0,0,0,11,54,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,253,0,0,0,5,0,1,0,0,273,322,0,0,0,0,0,0,47,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,211,307,220,0,13,6,0,0,105,65,0,0,0,0,0,0,367,414,380,0,0,0,0,0,0,0,5,0,0,0,0,0,0
OTU13,0,0,0,0,1,0,1,1,1,266,68,119,141,143,127,18,17,13,3,8,0,59,109,36,9,13,7,1,1,0,0,1,0,82,58,54,310,65,64,93,138,119,41,77,41,176,32,32,23,15,6,9,7,7,54,43,20,0,38,0,4,2,1,1,1,60,43,63,339,405,320,90,69,188,163,177,96,77,106,192,157,204,37,46,45,29,38,16,7,6,89,87,17,17,0,0,0,2,2,0,85,134,126,424,365,346,116,95,83,170,191,132,38,31,175,183,203,24,31,11,6,8,0,6,4,40,31,33,14,23,9,0,0,2,0,1,0,86,60
