OTUID,Domain,Phylum,Class,Order,Family,Genus
OTU7659,Bacteria,Acidobacteriota,Blastocatellia,24-Nov,11-24_fa,11-24_ge
OTU7660,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Microbispora
OTU7661,Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5_or,Subgroup_5_fa,Subgroup_5_ge
OTU7662,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Unknown_Family_unclassified
OTU7663,Bacteria,Armatimonadota,uncultured,uncultured_or,uncultured_fa,uncultured_ge
OTU7664,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
OTU7665,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillaceae_unclassified
OTU7666,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_6
OTU7667,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcaceae_unclassified
OTU7668,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
OTU7669,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillaceae_unclassified
OTU7670,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
OTU7671,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcaceae_unclassified
OTU7672,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmataceae_unclassified
OTU7673,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcaceae_unclassified
OTU7674,Bacteria,Myxococcota,bacteriap25,bacteriap25_or,bacteriap25_fa,bacteriap25_ge
OTU7675,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_unclassified
OTU7676,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Polyangiaceae_unclassified
OTU7677,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU7678,Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionales_unclassified,Vampirovibrionales_unclassified
OTU7679,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_unclassified
OTU7680,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU7681,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified
OTU7682,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,JG30-KF-AS9_ge
OTU7683,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK4A136_group
OTU7684,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU7685,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
OTU7687,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
OTU7688,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Polyangiaceae_unclassified
OTU7689,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU7690,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified
OTU7691,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillaceae_unclassified
OTU7692,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU7693,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,KD3-10
OTU7694,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospirales_unclassified,Oscillospirales_unclassified
OTU7695,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU7696,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliales_unclassified,Babeliales_unclassified
OTU7697,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU7698,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU7699,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillaceae_unclassified
OTU7700,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU7701,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Streptosporangiaceae_unclassified
OTU7702,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU7703,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU7704,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU7705,Bacteria,Actinobacteriota,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
OTU7706,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,SM2D12_ge
OTU7707,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU7708,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group_ge
OTU7709,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmataceae_unclassified
OTU7710,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas
OTU7711,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter
OTU7712,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
OTU7713,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
OTU7714,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmataceae_unclassified
OTU7715,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b_ge
OTU7716,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
OTU7717,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmataceae_unclassified
OTU7718,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
OTU7719,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured
OTU7720,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriae_or,Acidobacteriae_fa,Paludibaculum
OTU4020,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU4021,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_unclassified
OTU4022,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU4023,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified
OTU4024,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Polyangiaceae_unclassified
OTU4025,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,uncultured,uncultured_ge
OTU4026,Bacteria,Actinobacteriota,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
OTU4027,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU4028,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens
OTU4029,Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,uncultured
OTU4030,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
OTU4031,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter
OTU4032,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
OTU4033,Bacteria,Actinobacteriota,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
