OTUID,Domain,Phylum,Class,Order,Family,Genus
OTU91,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Parviterribacter
OTU92,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU93,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU94,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus
OTU95,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter
OTU96,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillaceae_unclassified
OTU97,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
OTU98,Bacteria,Firmicutes,Symbiobacteriia,Symbiobacteriales,Symbiobacteraceae,uncultured
OTU99,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobiaceae_unclassified
OTU5804,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
OTU5805,Bacteria,Elusimicrobiota,Elusimicrobia,Lineage_IV,Lineage_IV_fa,Lineage_IV_ge
OTU5806,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
OTU5807,Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria_fa,Candidatus_Magasanikbacteria_ge
OTU5808,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae_unclassified
OTU5809,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Ellin517
OTU5810,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256_fa,IMCC26256_ge
OTU5811,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU5812,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter
OTU5813,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonadaceae_ge
OTU5814,Bacteria,Chloroflexi,Dehalococcoidia,S085,S085_fa,S085_ge
OTU5815,Bacteria,Armatimonadota,uncultured,uncultured_or,uncultured_fa,uncultured_ge
OTU5816,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
OTU5817,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiales_unclassified,Frankiales_unclassified
OTU5818,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU5819,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Paludisphaera
OTU5820,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified
OTU5821,Bacteria,Actinobacteriota,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
OTU5822,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcaceae_unclassified
OTU5823,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured_ge
OTU5824,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula
OTU5825,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
OTU5827,Bacteria,Actinobacteriota,MB-A2-108,MB-A2-108_or,MB-A2-108_fa,MB-A2-108_ge
OTU5828,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus
OTU5829,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_unclassified,Rhizobiales_unclassified
OTU5830,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
OTU5831,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU5832,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU5833,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
OTU5834,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,uncultured
OTU5835,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured
OTU5836,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group_ge
OTU5837,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter
OTU5838,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
OTU5839,Bacteria,WPS-2,WPS-2_cl,WPS-2_or,WPS-2_fa,WPS-2_ge
OTU5840,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola
OTU5841,Bacteria,Myxococcota,Myxococcota_unclassified,Myxococcota_unclassified,Myxococcota_unclassified,Myxococcota_unclassified
OTU5842,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcaceae_unclassified
OTU5843,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonadaceae_unclassified
OTU5844,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU5845,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus
OTU5846,Bacteria,Chloroflexi,KD4-96,KD4-96_or,KD4-96_fa,KD4-96_ge
OTU5847,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
OTU5848,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU5849,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmataceae_unclassified
OTU5850,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio
OTU5851,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,uncultured
OTU5852,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
OTU5853,Bacteria,Acidobacteriota,Acidobacteriae,PAUC26f,PAUC26f_fa,PAUC26f_ge
OTU5854,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured
OTU5855,Bacteria,Actinobacteriota,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
OTU5856,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Polyangiaceae_unclassified
OTU5857,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,uncultured
OTU5858,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU5859,Bacteria,Myxococcota,Polyangia,Polyangiales,Phaselicystidaceae,Phaselicystis
OTU5860,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU5861,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Litorilinea
OTU5862,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
OTU5863,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
OTU5864,Bacteria,Elusimicrobiota,Lineage_IIa,Lineage_IIa_or,Lineage_IIa_fa,Lineage_IIa_ge
OTU5865,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU5866,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella
OTU5867,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonosporaceae_unclassified
OTU5868,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU5869,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,SM2D12_ge
OTU5870,Bacteria,Bacteroidota,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified
OTU5871,Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5_or,Subgroup_5_fa,Subgroup_5_ge
OTU5872,Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Pasteuria
OTU5873,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
OTU5874,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliales_unclassified,Babeliales_unclassified
OTU5875,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
OTU5876,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,BD1-7_clade
OTU5877,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiales_unclassified,Burkholderiales_unclassified
OTU5878,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomycetaceae_unclassified
OTU5879,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacteraceae_ge
OTU5880,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU5882,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU5883,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified
OTU5884,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
OTU5885,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
OTU5886,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU5887,Bacteria,Bacteroidota,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified
OTU5889,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacteriaceae_unclassified
OTU5890,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria_fa,Candidatus_Kaiserbacteria_ge
OTU5891,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
OTU5892,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured
OTU5895,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Aurantisolimonas
OTU5896,Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5_or,Subgroup_5_fa,Subgroup_5_ge
OTU5897,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,uncultured,uncultured_ge
OTU5898,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
OTU5899,Bacteria,Chloroflexi,OLB14,OLB14_or,OLB14_fa,OLB14_ge
OTU5900,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
OTU5901,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU5902,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU5903,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,uncultured_ge
OTU4912,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium
OTU4913,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU4914,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Ponticaulis
OTU4915,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
OTU4916,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2_fa,Subgroup_2_ge
OTU4917,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU4918,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellia_unclassified,Blastocatellia_unclassified,Blastocatellia_unclassified
OTU4919,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonadaceae_unclassified
OTU4920,Bacteria,Planctomycetota,Planctomycetota_unclassified,Planctomycetota_unclassified,Planctomycetota_unclassified,Planctomycetota_unclassified
OTU4921,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonadaceae_ge
OTU4922,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
OTU4923,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
OTU4924,Bacteria,Planctomycetota,OM190,OM190_or,OM190_fa,OM190_ge
OTU4925,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41_ge
OTU4926,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter
OTU4927,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,uncultured_ge
OTU4928,Bacteria,Acidobacteriota,AT-s3-28,AT-s3-28_or,AT-s3-28_fa,AT-s3-28_ge
OTU4929,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
OTU4930,Bacteria,Actinobacteriota,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
OTU4931,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU4932,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia
OTU4933,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriales_fa,Sphingobacteriales_ge
OTU4934,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiae_unclassified,Verrucomicrobiae_unclassified,Verrucomicrobiae_unclassified
OTU4935,Bacteria,Patescibacteria,Parcubacteria,Parcubacteria_or,Parcubacteria_fa,Parcubacteria_ge
OTU4936,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,cvE6,cvE6_ge
OTU4937,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Polyangiaceae_unclassified
OTU4938,Bacteria,Acidobacteriota,Blastocatellia,24-Nov,11-24_fa,11-24_ge
OTU4939,Bacteria,Cyanobacteria,Sericytochromatia,Sericytochromatia_or,Sericytochromatia_fa,Sericytochromatia_ge
OTU4940,Bacteria,Planctomycetota,OM190,OM190_or,OM190_fa,OM190_ge
OTU4941,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
OTU4942,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
OTU4943,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellales_unclassified,Gaiellales_unclassified
OTU4944,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
OTU4945,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera
OTU4946,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophales_fa,Omnitrophales_ge
OTU4947,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiales_unclassified,Burkholderiales_unclassified
OTU4948,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20_fa,0319-6G20_ge
OTU4949,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
OTU4950,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Koribacteraceae,Candidatus_Koribacter
OTU4951,Bacteria,Planctomycetota,vadinHA49,vadinHA49_or,vadinHA49_fa,vadinHA49_ge
OTU4952,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula
OTU4953,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
OTU4954,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured
OTU4955,Bacteria,Actinobacteriota,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
OTU4956,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
OTU4957,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillaceae_unclassified
OTU4958,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
OTU4959,Bacteria,Actinobacteriota,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
OTU4960,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Subgroup_7_fa,Subgroup_7_ge
OTU4961,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadales_fa,Chthonomonadales_ge
OTU4962,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured_ge
OTU4964,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,Rokubacteriales_fa,Rokubacteriales_ge
OTU4965,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,uncultured_ge
OTU4966,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU4967,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU4968,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU4969,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b_ge
OTU4970,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU4971,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
OTU4972,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU4973,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU4974,Bacteria,Patescibacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified
OTU4975,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20_fa,0319-6G20_ge
OTU4976,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,uncultured,uncultured_ge
OTU4977,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus
OTU4979,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
OTU4980,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU4981,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
OTU4982,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonadaceae_unclassified
OTU4983,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillaceae_unclassified
OTU4984,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU4986,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU4987,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Ktedonobacteraceae_unclassified
OTU4988,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonosporaceae_unclassified
OTU4989,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Isosphaeraceae_unclassified
OTU4990,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU4991,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
OTU4992,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
OTU4994,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Oceanirhabdus
OTU4995,Bacteria,Actinobacteriota,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
OTU4996,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
OTU4997,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_7
OTU4998,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
OTU4999,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified
OTU5000,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU5001,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,JG30-KF-AS9_ge
OTU5002,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillaceae_unclassified
OTU5003,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_unclassified
OTU5004,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
OTU5005,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified
OTU5006,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU5007,Bacteria,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified
OTU5008,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomycetaceae_unclassified
OTU5010,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,Hungateiclostridiaceae_unclassified
OTU5011,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillaceae_unclassified
OTU6246,Bacteria,Actinobacteriota,Acidimicrobiia,uncultured,uncultured_fa,uncultured_ge
OTU6247,Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5_or,Subgroup_5_fa,Subgroup_5_ge
OTU6248,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmataceae_unclassified
OTU6249,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_unclassified
OTU6250,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
OTU6251,Bacteria,RCP2-54,RCP2-54_cl,RCP2-54_or,RCP2-54_fa,RCP2-54_ge
OTU6252,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata
OTU6253,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_unclassified
OTU6254,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacteriaceae_unclassified
OTU6255,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium
OTU6256,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU6257,Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Thermoactinomycetaceae_unclassified
OTU6258,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU6259,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified
OTU6260,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_unclassified
OTU6262,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Acetitomaculum
OTU6263,Bacteria,Actinobacteriota,Actinobacteriota_unclassified,Actinobacteriota_unclassified,Actinobacteriota_unclassified,Actinobacteriota_unclassified
OTU6265,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Maricaulis
OTU6266,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospirales_unclassified,Oscillospirales_unclassified
OTU6267,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
OTU6268,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,JG30-KF-AS9_ge
OTU6269,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,1959-1
OTU6270,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella
OTU6271,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU6272,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU6273,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcaceae_unclassified
OTU6274,Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionaceae,Vampirovibrionaceae_unclassified
OTU6275,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
OTU6276,Bacteria,Actinobacteriota,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
OTU6277,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonadaceae_unclassified
OTU6278,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckiaceae_unclassified
OTU6279,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified
OTU6280,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella
OTU6281,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified
OTU6282,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillaceae_unclassified
