OTUID,Domain,Phylum,Class,Order,Family,Genus,Species
621ff432a1b14adda87aa6186e6049d0,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Ktedonobacter,
9abf8ae66d0973819a2d2d36bccd9191,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus,
3501d03f4da902cab194448b80dbcb86,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,
bdf8a26094624622d68509a87fa75ba7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
78725fad38cbdf92c60d9e86d517cc63,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium
83e6357d685b6828a2b57a0dc0675d27,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,
4b51a1fc646f05530b6539a5249ebb97,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus,uncultured_bacterium
6e4858896e3fb9aec9e247247491d05b,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_Haliangium
a3f513e1a98391c80e087fb746a63a4a,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Ammoniphilus,
83dabe1ddf95778e72f74567126490e6,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_alginolyticus
8145fcdc23c05da1eaa10f826eafcd02,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
eb8b16918ddfc4de660e08f4ad48beda,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,
4df1d514fefcf7a5a6b277c7595943bb,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,
b162b29dd2d822b1ffc1a194de0c6059,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Ammoniphilus,uncultured_bacterium
ed3b1385db147db8b2b9c70bf13f8f16,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,uncultured_bacterium
0dbf3aec3a34b218a94919344c9110ad,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,
ea200e3bb9a3951b9eefb8f34660de6e,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured_bacterium
