"","DNABE0X1","DNABE0X2","DNABE0Z1","DNABE0Z5","DNABE0Z6","DNABE1A2","DNABE1A3","DNABE1B1","DNABE1B2","DNABE1B3","DNABE1C2","DNABE1C3","DNABE1D1","DNABE1D2","DNABE1D3","DNABE1E3","DNABE1F2","DNABE1F3","DNABE1G1","DNABE1G2","DNABE1G3","DNABE1H1","DNABE1H2","DNABE1H3","DNABE1I1","DNABE1I2","DNABE1I3","DNABE1J1","DNABE1K1","DNABE1K2","DNABE1K3","DNABE1L1","DNABE1M1","DNABE1M2","DNABE1M3","DNABE2A2","DNABE2A3","DNABE2B2","DNABE2B3","DNABE2C1","DNABE2C2","DNABE2C3","DNABE2D2","DNABE2D3","DNABE2E1","DNABE2E2","DNABE2E3","DNABE2F1","DNABE2F2","DNABE2F3","DNABE2G1","DNABE2G2","DNABE2G3","DNABE2H1","DNABE2H2","DNABE2H3","DNABE2I1","DNABE2I2","DNABE2I3","DNABE2J1","DNABE2J3","DNABE2K2","DNABE2K3","DNABE2L1","DNABE2L2","DNABE2L3","DNABE2M1","DNABE2M2","DNABE2M3","DNABE3A1","DNABE3A2","DNABE3A3","DNABE3B1","DNABE3B2","DNABE3B3","DNABE3C1","DNABE3C2","DNABE3C3","DNABE3D1","DNABE3D2","DNABE3D3","DNABE3E1","DNABE3E2","DNABE3E3","DNABE3F1","DNABE3F2","DNABE3F3","DNABE3G1","DNABE3G2","DNABE3G3","DNABE3H1","DNABE3H2","DNABE3H3","DNABE3I1","DNABE3I2","DNABE3I3","DNABE3J1","DNABE3J2","DNABE3J3","DNABE3K1","DNABE3K2","DNABE3K3","DNABE3L1","DNABE3L2","DNABE3L3","DNABE3M1","DNABE3M2","DNABE3M3","DNABE4A1","DNABE4A2","DNABE4A3","DNABE4B1","DNABE4B2","DNABE4B3","DNABE4C1","DNABE4C2","DNABE4C3","DNABE4D1","DNABE4D2","DNABE4D3","DNABE4E1","DNABE4E2","DNABE4E3","DNABE4F1","DNABE4F2","DNABE4F3","DNABE4G3","DNABE4H1","DNABE4H2","DNABE4I1","DNABE4I2","DNABE4J1","DNABE4J2","DNABE4J3","DNABE4K1","DNABE4K2","DNABE4K3","DNABE4L1","DNABE4L2","DNABE4L3","DNABE4M1","DNABE4M2","DNABE4M3"
"6c5f4f9666d82b1bedf94e99acfe6741",55,0,0,0,0,260,848,1178,1045,1143,1607,1990,2243,2431,2368,638,876,780,664,634,523,3021,2553,2731,449,420,517,450,462,582,464,590,365,398,412,784,781,1097,1020,1910,1525,1657,0,2285,563,738,0,630,627,796,846,1036,1096,1685,2447,1970,283,291,335,250,396,512,517,298,293,390,202,327,301,697,618,672,1134,990,1365,1499,1441,1350,2400,1992,0,457,647,573,499,489,625,1425,1584,1916,3458,2384,3109,431,355,415,225,279,152,1596,1431,1965,574,606,841,318,279,311,761,709,706,1018,459,441,453,2117,1024,899,1194,2287,919,899,953,1048,1113,1149,2329,2744,2648,472,452,428,295,306,1079,1105,1148,348,403,506,329,282,337
"33b12dce219cca6aed4a011624419cd5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205e9006842d47d1a2d1caf6a96e0c88",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,94,44,133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14,16,0,0,0,19,48,51,0,0,0
"137057db86455044f6c3224df84d507a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e3d3786af144b774654e489329ba3330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5
"419b1fa77d6c498f14247a9ab110005f",0,0,6,0,11,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,0,0,0,0,0,0,0,0,12,15,7,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,35,25,0,0,0
"e5625cb80db12da7faa9cb82e67d7d33",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2cfd24c6f9d173c18e3612b5e4e26758",0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6fca6aff4725930a833c62312df18fdc",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"00541fe2d4aa2b19cd56f65003e74382",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
